Date,SP500,AAPL,GOOG,IBM,JNJ,K,KO,MSFT,NFLX
2019-02-14,-0.002652,0.003598,0.001348,-0.007579,-0.001055,-0.006632,-0.08432,0.000849,0.020752
2019-02-15,0.010879,-0.002175,-0.00715,0.011343,0.015394,0.003789,-0.007804,0.012353,-0.006127
2019-02-19,0.001499,0.002945,0.004409,0.004838,-0.005054,0.010965,-0.008989,-0.000466,0.014151
2019-02-20,0.001777,0.00646,-0.004255,-0.005034,0.004855,0.017959,0.005896,-0.005219,-0.005554
2019-02-21,-0.003526,-0.00566,-0.01511,-0.001173,-0.006839,-0.002096,0.016907,0.021171,-0.008169
2019-02-22,0.006411,0.011209,0.012215,0.010277,0.008757,-0.027306,-0.012636,0.014219,0.016948
2019-02-25,0.001232,0.007254,-0.000874,0.001453,0.003636,-0.018895,-0.007409,0.005608,0.002452
2019-02-26,-0.00079,0.000576,0.005165,0.001887,-0.000591,0.004585,-0.005655,0.006926,0.002913
2019-02-27,-0.000544,0.00311,0.000825,-0.003911,-0.001775,-0.002739,0.005687,-0.001697,-0.005754
2019-02-28,-0.002826,-0.009816,0.003468,-0.007489,0.005632,0.008971,0.008822,-0.001253,-0.013145
2019-03-01,0.006895,0.010493,0.018814,0.007765,0.012527,0.010161,0.000897,0.00439,-0.002178
2019-03-04,-0.003881,0.005049,0.005969,-0.005597,0.000946,-0.029639,0.005824,-0.002319,-0.017575
2019-03-05,-0.001131,-0.001827,0.012398,-0.003947,0.002108,0.002962,-0.000891,-0.005007,0.009287
2019-03-06,-0.006524,-0.005776,-0.003589,-0.006532,0.002249,-0.005537,-0.003344,0.000449,0.014987
2019-03-07,-0.008126,-0.011562,-0.012575,-0.011819,-0.006081,-0.00297,-0.003802,-0.012215,-0.019493
2019-03-08,-0.002132,0.002386,-0.000857,-0.002018,-0.001311,0.004654,-0.009654,0.001091,-0.008508
2019-03-11,0.014666,0.034601,0.029274,0.019401,0.003646,-0.007412,0.029925,0.020981,0.026487
2019-03-12,0.002953,0.011279,0.014833,0.004188,0.004432,0.000187,-0.002862,0.007028,-0.007217
2019-03-13,0.00695,0.004384,0.000101,0.001976,0.001664,-0.010265,0.003753,0.007774,0.013866
2019-03-14,-0.000868,0.01116,-0.006511,0.00168,-0.009967,0.003771,-0.002639,0.000789,-0.006617
2019-03-15,0.004985,0.013003,-0.000919,0.004593,-0.003064,0.008642,-0.00882,0.011474,0.007357
2019-03-18,0.003706,0.010194,-0.000169,0.005588,-0.003073,0.0,0.002447,0.014375,0.005478
2019-03-19,-0.000131,-0.007955,0.01232,0.002021,0.009248,0.002608,0.003329,0.000683,-0.012822
2019-03-20,-0.002944,0.008772,0.020953,-0.006338,-0.008291,-0.005573,-0.000664,-0.001109,0.045822
2019-03-21,0.010853,0.036812,0.006185,0.013192,0.005867,0.043714,-0.000443,0.022974,0.007063
2019-03-22,-0.018975,-0.020685,-0.021144,-0.014094,-0.008603,0.004654,0.009079,-0.026382,-0.044619
2019-03-25,-0.000839,-0.012085,-0.010369,-0.001887,-0.002206,-0.001247,0.002194,0.005231,0.014459
2019-03-26,0.007183,-0.010371,-0.007024,0.007415,0.014372,0.015876,0.013357,0.002133,-0.017093
2019-03-27,-0.004644,0.009029,-0.009792,-0.006928,0.000945,-0.010887,-0.000648,-0.009704,-0.018335
2019-03-28,0.00359,0.001332,-0.003862,0.004869,0.001307,0.000533,-0.000649,0.001375,0.003509
2019-03-29,0.006734,0.006489,0.004125,0.008389,0.006525,0.007097,0.006058,0.00867,0.005499
2019-04-01,0.011569,0.006817,0.018,0.015634,-0.005762,-0.023608,-0.003011,0.009106,0.029168
2019-04-02,1.7e-05,0.01454,0.005074,-0.002118,-0.0092,0.005774,-0.003236,0.001434,0.002071
2019-04-03,0.002148,0.006829,0.004523,0.004387,-0.003875,0.005562,-0.00844,0.006568,0.005521
2019-04-04,0.002085,0.001747,0.00753,-0.005918,-0.011671,-0.003747,0.006547,-0.005103,-0.005057
2019-04-05,0.004636,0.006669,-0.006461,0.003544,0.004456,0.006268,-0.000217,0.004457,-0.006497
2019-04-08,0.001047,0.015746,-0.002742,0.000777,-0.000296,0.01228,0.001735,0.000335,-0.011163
2019-04-09,-0.006067,-0.00301,-0.005474,-0.008962,-0.004142,-0.005802,0.002598,-0.00544,0.009131
2019-04-10,0.003478,0.005636,0.004101,0.006408,7.4e-05,0.00672,-0.000648,0.007657,-0.002166
2019-04-11,3.8e-05,-0.008306,0.002046,0.005306,-0.002748,-0.003513,0.001513,0.001169,0.01025
2019-04-12,0.006609,-0.000404,0.010999,0.004012,0.005734,0.003878,0.000647,0.005088,-0.044907
2019-04-15,-0.000629,0.001817,0.002652,-0.003154,0.003924,0.013521,0.005606,0.00083,-0.006465
2019-04-16,0.000509,0.000101,0.004938,0.008649,0.010989,0.000693,-0.001072,-0.002322,0.030355
2019-04-17,-0.002274,0.019447,0.007505,-0.04155,0.003648,-0.005021,0.006868,0.008311,-0.013131
2019-04-18,0.001579,0.003608,2.4e-05,0.008729,-0.007196,0.00609,0.004263,0.013188,0.015814
2019-04-22,0.001012,0.003299,0.010086,-0.010239,0.002196,-0.001557,-0.001698,0.003091,0.047149
2019-04-23,0.008841,0.01438,0.01258,0.011147,0.015049,0.001213,0.017223,0.013625,0.012058
2019-04-24,-0.002192,-0.0015,-0.006761,-0.003458,-0.005038,0.002422,-0.004808,-0.003441,-0.020058
2019-04-25,-0.000369,-0.00911,0.005932,-0.009471,0.003255,-0.010701,-0.002941,0.033079,-0.015766
2019-04-26,0.004685,-0.004744,0.00691,0.005839,0.005335,0.025122,0.008848,0.005751,0.017702
2019-04-29,0.001071,0.001523,0.012105,-0.002758,-0.003944,0.004084,0.003132,-0.000927,-0.008057
2019-04-30,0.000951,-0.019281,-0.076966,0.008732,0.00972,0.011017,0.013322,0.00642,-0.003469
2019-05-01,-0.007502,0.049075,-0.017165,0.002092,0.005348,-0.015088,-0.009655,-0.020827,0.022319
2019-05-02,-0.002124,-0.006485,-0.004683,-0.006911,-0.004752,-0.033872,-0.003941,-0.013107,0.00066
2019-05-03,0.009638,0.012431,0.019602,0.004712,0.005131,-0.015856,0.006664,0.021314,0.015749
2019-05-06,-0.004471,-0.015455,0.003366,0.000938,0.000567,0.01647,-0.005172,-0.005762,-0.016518
2019-05-07,-0.016512,-0.026965,-0.012855,-0.019534,-0.014881,-0.004227,-0.009565,-0.02052,-0.021681
2019-05-08,-0.001605,0.000198,-0.006669,0.002647,-0.001295,0.001592,-0.003149,-8e-05,-0.016439
2019-05-09,-0.003021,-0.010736,-0.003335,-0.007626,-0.007563,0.009536,-0.009478,-8e-05,-0.004446
